variable,Dimensionality,Description,SUEWS-related variables,Dimensionality Remarks
humactivity_24hr,"(24, 2)",Code linking to `ActivityProfWD` in `SUEWS_Profiles.txt`.;;Code linking to `ActivityProfWE` in `SUEWS_Profiles.txt`.,"`ActivityProfWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-activityprofwd>`_, `ActivityProfWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-activityprofwe>`_",24: hours of a day; 2: Weekday and Weekend
t_critic_heating,"(2,)",Critical heating temperature on weekdays [°C];;Critical heating temperature on weekends [°C],"`TCritic_Heating_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tcritic-heating-wd>`_, `TCritic_Heating_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tcritic-heating-we>`_",2: Weekday and Weekend
ie_a,"(3,)",Coefficient for automatic irrigation model [mm |d^-1| ];;Coefficient for automatic irrigation model [mm |d^-1| |K^-1|];;Coefficient for automatic irrigation model [mm |d^-2| ],"`Ie_a1 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ie-a1>`_, `Ie_a2 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ie-a2>`_, `Ie_a3 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ie-a3>`_",3: See variable description for specifics
traffprof_24hr,"(24, 2)",Code for traffic activity profile (weekdays) linking to `Code` of `SUEWS_Profiles.txt`. Not used in v2018a.;;Code for traffic activity profile (weekends) linking to `Code` of `SUEWS_Profiles.txt`. Not used in v2018a.,"`TraffProfWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-traffprofwd>`_, `TraffProfWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-traffprofwe>`_",24: hours of a day; 2: Weekday and Weekend
snowprof_24hr,"(24, 2)",Code for snow clearing profile (weekdays) linking to `Code` of `SUEWS_Profiles.txt`.;;Code for snow clearing profile (weekends) linking to `Code` of `SUEWS_Profiles.txt`.,"`SnowClearingProfWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-snowclearingprofwd>`_, `SnowClearingProfWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-snowclearingprofwe>`_",24: hours of a day; 2: Weekday and Weekend
wuprofa_24hr,"(24, 2)","Code for water use profile (automatic irrigation, weekdays) linking to `Code` of `SUEWS_Profiles.txt`. Value of integer is arbitrary but must match code specified in `Code` of `SUEWS_Profiles.txt`.;;Code for water use profile (automatic irrigation, weekends) linking to `Code` of `SUEWS_Profiles.txt`. Value of integer is arbitrary but must match code specified in `Code` of `SUEWS_Profiles.txt`.","`WaterUseProfAutoWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-wateruseprofautowd>`_, `WaterUseProfAutoWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-wateruseprofautowe>`_",24: hours of a day; 2: Weekday and Weekend
ah_slope_cooling,"(2,)",Cooling slope of QF on weekdays [W |m^-2| |K^-1|];;Cooling slope of QF on weekends [W |m^-2| |K^-1|],"`AHSlope_Cooling_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ahslope-cooling-wd>`_, `AHSlope_Cooling_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ahslope-cooling-we>`_",2: Weekday and Weekend
trafficrate,"(2,)",Weekday traffic rate [veh km |m^-2| s-1] Can be used for CO2 flux calculation - not used in v2018a.;;Weekend traffic rate [veh km |m^-2| s-1] Can be used for CO2 flux calculation - not used in v2018a.,"`TrafficRate_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-trafficrate-wd>`_, `TrafficRate_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-trafficrate-we>`_",2: Weekday and Weekend
waterdist,"(8, 6)",Fraction of water going to ``BSoil``;;Fraction of water going to ``Bldgs``;;Fraction of water going to ``DecTr``;;Fraction of water going to `EveTr`;;Fraction of water going to `Grass`;;Fraction of water going to `Paved`;;Fraction of water going to `Runoff`;;Fraction of water going to `SoilStore`;;Fraction of water going to `Water`,"`ToBSoil <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tobsoil>`_, `ToBldgs <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tobldgs>`_, `ToDecTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-todectr>`_, `ToEveTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-toevetr>`_, `ToGrass <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tograss>`_, `ToPaved <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-topaved>`_, `ToRunoff <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-torunoff>`_, `ToSoilStore <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tosoilstore>`_, `ToWater <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-towater>`_",8: Seven SUEWS land cover types and Runoff/SoilStore as water receiver; 6: SUEWS land cover types other than water as water contributors
daywat,"(7,)","Irrigation allowed on Sundays [1], if not [0];;Irrigation allowed on Mondays [1], if not [0];;Irrigation allowed on Tuesdays [1], if not [0];;Irrigation allowed on Wednesdays [1], if not [0];;Irrigation allowed on Thursdays [1], if not [0];;Irrigation allowed on Fridays [1], if not [0];;Irrigation allowed on Saturdays [1], if not [0]","`DayWat(1) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywat-1>`_, `DayWat(2) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywat-2>`_, `DayWat(3) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywat-3>`_, `DayWat(4) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywat-4>`_, `DayWat(5) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywat-5>`_, `DayWat(6) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywat-6>`_, `DayWat(7) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywat-7>`_",7: Seven days of a week: from Sunday to Saturday
ah_slope_heating,"(2,)",Heating slope of QF on weekdays [W |m^-2| |K^-1|];;Heating slope of QF on weekends [W |m^-2| |K^-1|],"`AHSlope_Heating_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ahslope-heating-wd>`_, `AHSlope_Heating_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ahslope-heating-we>`_",2: Weekday and Weekend
laipower,"(4, 3)",a parameter required by LAI calculation in `LAIEq`;;a parameter required by LAI calculation [|K^-1|] in `LAIEq`,"`LeafGrowthPower1 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-leafgrowthpower1>`_, `LeafGrowthPower2 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-leafgrowthpower2>`_, `LeafOffPower1 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-leafoffpower1>`_, `LeafOffPower2 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-leafoffpower2>`_","4: See variable description for specifics; 3: Three vegetated land cover types (`EveTr`, `DecTr`, `Grass`)"
ah_min,"(2,)",Minimum QF on weekdays [W |m^-2|];;Minimum QF on weekends [W |m^-2|],"`AHMin_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ahmin-wd>`_, `AHMin_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ahmin-we>`_",2: Weekday and Weekend
