variable,Dimensionality,Description,SUEWS-related variables,Dimensionality Remarks
g4,0,Related to VPD dependence [units depend on `gsModel`],`G4 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-g4>`_,Scalar
lat,0,Latitude [deg].,`lat <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-lat>`_,Scalar
narp_emis_snow,0,Effective surface emissivity.,`Emissivity <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-emissivity>`_,Scalar
g6,0,Related to soil moisture dependence [|mm^-1|],`G6 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-g6>`_,Scalar
beta_enh_bioco2,"(3,)",Part of the `beta` coeﬃcient related to the fraction of vegetation.,`beta_enh <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-beta-enh>`_,3: See variable description for specifics
fcef_v_kgkm,0,CO2 emission factor [kg |km^-1|],`FcEF_v_kgkm <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fcef-v-kgkm>`_,Scalar
tempmeltfact,0,Hourly temperature melt factor of snow [mm |K^-1| |h^-1|],`TempMeltFactor <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tempmeltfactor>`_,Scalar
ie_end,0,Day when irrigation ends [DOY],`Ie_end <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ie-end>`_,Scalar
alpha_enh_bioco2,"(3,)",Part of the `alpha` coeﬃcient related to the fraction of vegetation.,`alpha_enh <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-alpha-enh>`_,3: See variable description for specifics
capmax_dec,0,Maximum water storage capacity for upper surfaces (i.e. canopy),`StorageMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-storagemax>`_,Scalar
