variable,Dimensionality,Description,SUEWS-related variables,Dimensionality Remarks
daywatper,"(7,)",Fraction of properties using irrigation for each day of a week.,"`DayWatPer(1) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywatper-1>`_, `DayWatPer(2) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywatper-2>`_, `DayWatPer(3) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywatper-3>`_, `DayWatPer(4) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywatper-4>`_, `DayWatPer(5) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywatper-5>`_, `DayWatPer(6) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywatper-6>`_, `DayWatPer(7) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywatper-7>`_",7: Seven days of a week: from Sunday to Saturday
wuprofa_24hr,"(24, 2)","Hourly profile values used in automatic irrigation.","`WaterUseProfAutoWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-wateruseprofautowd>`_, `WaterUseProfAutoWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-wateruseprofautowe>`_",24: hours of a day; 2: Weekday and Weekend
wuprofm_24hr,"(24, 2)","Hourly profile values used in manual irrigation.","`WaterUseProfManuWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-wateruseprofmanuwd>`_, `WaterUseProfManuWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-wateruseprofmanuwe>`_",24: hours of a day; 2: Weekday and Weekend
snowprof_24hr,"(24, 2)","Hourly profile values used in snow clearing.","`SnowClearingProfWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-snowclearingprofwd>`_, `SnowClearingProfWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-snowclearingprofwe>`_",24: hours of a day; 2: Weekday and Weekend
snowdens,"(7,)",Initial snow density of each land cover.,"`SnowDensBldgs <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowdensbldgs>`_, `SnowDensPaved <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowdenspaved>`_, `SnowDensDecTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowdensdectr>`_, `SnowDensEveTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowdensevetr>`_, `SnowDensGrass <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowdensgrass>`_, `SnowDensBSoil <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowdensbsoil>`_, `SnowDensWater <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowdenswater>`_",7: Seven SUEWS land cover types in the order of [paved; buildings; evergreen trees/shrubs; deciduous trees/shrubs; grass; bare soil and water]: https://suews-docs.readthedocs.io/en/latest/introduction.html
snowfrac,"(7,)",Initial plan area fraction of snow on each land cover`,"`SnowFracBldgs <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowfracbldgs>`_, `SnowFracPaved <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowfracpaved>`_, `SnowFracDecTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowfracdectr>`_, `SnowFracEveTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowfracevetr>`_, `SnowFracGrass <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowfracgrass>`_, `SnowFracBSoil <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowfracbsoil>`_, `SnowFracWater <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowfracwater>`_",7: Seven SUEWS land cover types in the order of [paved; buildings; evergreen trees/shrubs; deciduous trees/shrubs; grass; bare soil and water]: https://suews-docs.readthedocs.io/en/latest/introduction.html
snowpack,"(7,)",Initial snow water equivalent on each land cover,"`SnowPackBldgs <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowpackbldgs>`_, `SnowPackPaved <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowpackpaved>`_, `SnowPackDecTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowpackdectr>`_, `SnowPackEveTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowpackevetr>`_, `SnowPackGrass <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowpackgrass>`_, `SnowPackBSoil <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowpackbsoil>`_, `SnowPackWater <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowpackwater>`_",7: Seven SUEWS land cover types in the order of [paved; buildings; evergreen trees/shrubs; deciduous trees/shrubs; grass; bare soil and water]: https://suews-docs.readthedocs.io/en/latest/introduction.html
snowwater,"(7,)",Initial amount of liquid water in the snow on each land cover,"`SnowWaterBldgsState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowwaterbldgsstate>`_, `SnowWaterPavedState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowwaterpavedstate>`_, `SnowWaterDecTrState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowwaterdectrstate>`_, `SnowWaterEveTrState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowwaterevetrstate>`_, `SnowWaterGrassState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowwatergrassstate>`_, `SnowWaterBSoilState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowwaterbsoilstate>`_, `SnowWaterWaterState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowwaterwaterstate>`_",7: Seven SUEWS land cover types in the order of [paved; buildings; evergreen trees/shrubs; deciduous trees/shrubs; grass; bare soil and water]: https://suews-docs.readthedocs.io/en/latest/introduction.html
lai_id,"(3,)",Initial LAI values.,"`LAIinitialDecTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-laiinitialdectr>`_, `LAIinitialEveTr <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-laiinitialevetr>`_, `LAIinitialGrass <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-laiinitialgrass>`_",3: See variable description for specifics
soilstore_id,"(7,)",Initial water stored in soil beneath each land cover,"`SoilstoreBldgsState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Soil_moisture_states.html#cmdoption-arg-soilstorebldgsstate>`_, `SoilstorePavedState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Soil_moisture_states.html#cmdoption-arg-soilstorepavedstate>`_, `SoilstoreDecTrState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Soil_moisture_states.html#cmdoption-arg-soilstoredectrstate>`_, `SoilstoreEveTrState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Soil_moisture_states.html#cmdoption-arg-soilstoreevetrstate>`_, `SoilstoreGrassState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Soil_moisture_states.html#cmdoption-arg-soilstoregrassstate>`_, `SoilstoreBSoilState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Soil_moisture_states.html#cmdoption-arg-soilstorebsoilstate>`_",7: Seven SUEWS land cover types in the order of [paved; buildings; evergreen trees/shrubs; deciduous trees/shrubs; grass; bare soil and water]: https://suews-docs.readthedocs.io/en/latest/introduction.html
state_id,"(7,)",Initial wetness condition on each land cover,"`BldgsState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Above_ground_state.html#cmdoption-arg-bldgsstate>`_, `PavedState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Above_ground_state.html#cmdoption-arg-pavedstate>`_, `DecTrState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Above_ground_state.html#cmdoption-arg-dectrstate>`_, `EveTrState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Above_ground_state.html#cmdoption-arg-evetrstate>`_, `GrassState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Above_ground_state.html#cmdoption-arg-grassstate>`_, `BSoilState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Above_ground_state.html#cmdoption-arg-bsoilstate>`_, `WaterState <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Above_ground_state.html#cmdoption-arg-waterstate>`_",7: Seven SUEWS land cover types in the order of [paved; buildings; evergreen trees/shrubs; deciduous trees/shrubs; grass; bare soil and water]: https://suews-docs.readthedocs.io/en/latest/introduction.html
